K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,K_SEQ,STABR,PUB_FIPS,YR
WA0070,WA0070-014,SUNNYSIDE PUBLIC LIBRARY,                                 -1,SUNNYSIDE,98944,  -1,        -1,YAKIMA,BR,NC,E,0,014,WA,53,93
WA0070,WA0070-015,TERRACE HEIGHTS PUBLIC LIBRARY,                                 -1,YAKIMA,98901,  -1,        -1,YAKIMA,BR,NC,C,0,015,WA,53,93
WA0070,WA0070-016,TIETON PUBLIC LIBRARY,                                 -1,TIETON,98947,  -1,        -1,YAKIMA,BR,NC,B,0,016,WA,53,93
WA0070,WA0070-017,MARY GOODRICH MEMORIAL LIBRARY,                                 -1,TOPPENISH,98948,  -1,        -1,YAKIMA,BR,NC,D,0,017,WA,53,93
WA0070,WA0070-018,UNION GAP PUBLIC LIBRARY,                                 -1,UNION GAP,98903,  -1,        -1,YAKIMA,BR,NC,C,0,018,WA,53,93
WA0070,WA0070-019,WAPATO PUBLIC LIBRARY,                                 -1,WAPATO,98951,  -1,        -1,YAKIMA,BR,NC,D,0,019,WA,53,93
WA0070,WA0070-020,WHITE SWAN PUBLIC LIBRARY,                                 -1,WHITE SWAN,98952,  -1,        -1,YAKIMA,BR,NC,B,0,020,WA,53,93
WA0070,WA0070-021,ZILLAH PUBLIC LIBRARY,                                 -1,ZILLAH,98953,  -1,        -1,YAKIMA,BR,NC,C,0,021,WA,53,93
WA0059,WA0059-039,WHITE CENTER PUBLIC LIBRARY,11220 16TH AVENUE S.W.,SEATTLE,98146,3595,2062430233,KING,BR,NC,E,0,039,WA,53,93
WA0061,WA0061-011,WEST RICHLAND PUBLIC LIBRARY,5456 VAN GIESEN,WEST RICHLAND,99352,9306,5099673191,BENTON,BR,NC,D,0,011,WA,53,93
WA0062,WA0062-027,WINTHROP COMMUNITY LIBRARY,PO BOX 519,WINTHROP,98862,0519,5099962685,OKANOGAN,BR,NO,B,0,027,WA,53,93
WA0063,WA0063-018,WILKESON PUBLIC LIBRARY,PO BOX 93,WILKESON,98396,0093,2068290513,PIERCE,BR,NC,C,0,018,WA,53,93
WA0066,WA0066-009,VALLEY COMMUNITY LIBRARY,12004 EAST MAIN AVENUE,SPOKANE,99206,5193,5099266283,SPOKANE,BR,NC,G,0,009,WA,53,93
WA0026,WA0026-002,Lopez Island Library,Fishermans Bay Road,Lopez,98261,0156,2064682265,SAN JUAN,CE,NO,B,0,002,WA,53,93
WA0059,WA0059-040,FEDERAL WAY REGIONAL LIBRARY,34200 1ST WAY S,FEDERAL WAY,98003,  -1,2068383668,KING,BR,NC,F,0,040,WA,53,93
WA0063,WA0063-019,GRAHAM PUBLIC LIBRARY,9202 224TH ST E,GRAHAM,98338,  -1,2068474030,PIERCE,BR,NC,D,0,019,WA,53,93
WA0063,WA0063-020,SUMMIT LIBRARY,5107 112TH ST E,TACOMA,98445,  -1,2065366186,PIERCE,BR,NC,E,0,020,WA,53,93
WA0066,WA0066-010,OTIS ORCHARDS LIBRARY,22324 EAST WELLESLEY AVE,OTIS ORCHARDS,99027,  -1,5099211500,SPOKANE,BR,NC,E,0,010,WA,53,93
WA0070,WA0070-023,SOUTHEAST PUBLIC LIBRARY,                                 -1,               -1,   -1,  -1,        -1,YAKIMA,BR,NC,E,0,023,WA,53,93
WV0001,001A,SOPHIA,PO BOX #70,NAOMA,25140,  -1,3048542677,Raleigh,BR,NO,B,0,003,WV,54,93
WV0001,001B,NAOMA,GENERAL DELIVERY,SOPHIA,25921,  -1,3046835990,Raleigh,BR,NO,B,0,004,WV,54,93
WV0001,001C,SHADY SPRINGS,DRAWER X,SHADY SPRING,25918,  -1,3047632681,Raleigh,BR,NO,B,0,005,WV,54,93
WV0002,002B,VALLEY BRANCH,C/O CRAFT MEMORIAL,VALLEY BRANCH,24701,  -1,        -1,Mercer,BR,NO,C,0,004,WV,54,93
WV0004,004A,BARBOURSVILLE,728 MAIN ST,BARBOURSVILLE,25504,  -1,3047364621,Cabell,BR,NC,B,0,003,WV,54,93
