POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32,IMP33,IMP34,IMP35
1281713,230,9,2,139.2,376.97,271.66,648.63,23134870,12742,12240,3230378,26390230,15077101,2168079,17245180,4322892,4274024,25842096,6114572,5236505,132014,98970,15541,344114,5691656,823837,8848525,104252,93714,3654687,323347,193597,402346,3849,1161323,1173000,07/96,12/97,NH,33,98,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
8602097,307,145,17,1417.4,1422.4,3737.3,5159.7,240554815,8796072,1491700,14308807,265151394,140481281,35344229,175825510,34690512,47603574,258119596,23622810,30296596,860520,499255,68367,1150804,39011091,7833971,48217585,348691,429323,17672044,1435046,2681254,8151193,69297,7919222,7993220,01/97,12/97,NJ,34,98,02, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0
1421779,72,20,4,108.25,209.25,336.24,545.49,22274303,1855846,514302,1295384,25939835,11461836,3158473,14620309,4726934,4236254,23583497,4989473,4187830,73124,41472,7731,197184,7708846,1048494,7733575,15814,23258,2690844,259303,233220,435074,2224,1421779,1713407,07/96,06/97,NM,35,98,06, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
1688541,27,56,3,127.04,167.99,469.7,637.69,35849680,99544,447743,1261014,37657981,19088813,4621987,23710800,6580017,9527188,39818005,4730755,3725086,138542,102007,8323,161868,4328801,1880995,8665446,11305,17147,2688593,634880,92595,897784,3039,1688140,1688140,07/96,06/97,NV,32,98,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
17909462,751,326,9,3469.69,3848.22,8825.94,12674.16,536501525,42547479,3616772,118024849,700690625,361159188,78762402,439921590,90622742,130355351,660899683,59405124,74494021,3852883,1341250,284822,2174377,96187459,34785874,124077855,1314345,1491577,40058109,3206783,4543655,11675446,99109,16677815,17990764,03/96,12/97,NY,36,98,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
11186331,245,445,62,1773.71,2590.79,6519.62,9110.41,100129240,375910577,2040342,47940652,526020811,221822576,51345871,273168447,82755013,87318735,443242195,80907853,45171152,2728659,1616866,85811,2365635,57753680,15993682,140820916,677473,805663,46938548,2603138,4467398,10465858,49640,11186331,11186331,01/97,12/97,OH,39,98,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1
2734850,115,93,5,188.4,450.3,520.1,970.4,38063608,1797997,314041,3286398,43462044,20992377,4979643,25972020,6408335,8149465,40529820,1236573,5772986,88833,82379,16302,563173,11134773,1927412,16345060,28217,46699,6154065,471656,239269,1117527,1159,2725313,3295315,07/96,06/97,OK,40,98,06, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
3013931,127,73,10,285.41,406.71,928.44,1335.15,73220222,390492,511934,7709993,81832641,39213547,11367100,50580647,10206066,16290328,77077041,29370278,7480873,304912,187906,23009,364129,12812651,2305463,30814989,877550,813557,9856708,423156,660822,2244023,5858,3013931,3181000,07/96,06/97,OR,41,98,08, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
11753955,458,186,32,992.51,1462.28,2614.28,4076.56,126701955,32502495,2587355,41411394,203203199,97422954,25347237,122770191,26490531,53720301,202981023,31436971,25211350,1493918,423259,50726,1397862,37480014,7096910,54612728,363413,311675,20580883,1807691,1143790,11057946,4482,11635227,11888946,01/96,06/97,PA,42,98,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
1233151,49,23,2,165.85,193.97,364.69,558.66,19299334,1370515,54298,5274240,25998387,15158937,2406576,17565513,3058621,4506219,25130353,1799958,4175192,84891,68894,7883,163604,5169567,914533,6632224,347191,369459,2353748,175885,189722,1069713,2884,998003,998003,07/96,06/97,RI,44,98,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
3784729,40,141,36,334.88,515.02,774.32,1289.34,49444930,4751888,911573,3345336,58453727,26486932,6498939,32985871,10715418,10369974,54071263,10690556,7095905,179095,119823,19029,419770,11381512,4255592,16802037,10219,40284,6112105,492373,709158,2543227,6264,3760181,3760181,07/96,06/97,SC,45,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1
