K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,WEB_ADR,K_SEQ,STABR,PUB_FIPS,CNTYFIPS,YR
AK0047,AK0047-002,KING SALMON BRANCH LIBRARY,P.O. BOX 556,KING SALMON,99613,0556,9072463337,BRISTOL BAY,BR,NO,A,0,,002,AK,02,060,98
AK0047,AK0047-003,SOUTH NAKNEK BRANCH LIBRARY,GENERAL DELIVERY,SOUTH NAKNEK,99670,9999,9072466513,BRISTOL BAY,BR,NO,A,0,,003,AK,02,060,98
AK0047,AK0047-004,MARTIN MONSEN LIBRARY,P. O. BOX 147,NAKNEK,99633,0147,9072464465,BRISTOL BAY,CE,NO,B,0,,004,AK,02,060,98
AK0048,AK0048-002,NENANA PUBLIC LIBRARY,P. O. BOX 40,NENANA,99760,0040,9078325812,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0051,AK0051-002,NINILCHIK COMMUNITY LIBRARY,P. O. BOX 39165,NINILCHIK,99639,0165,9075673333,KENAI PENINSULA,CE,NO,A,0,,002,AK,02,122,98
AK0052,AK0052-002,KEGOAYAH KOZGA LIBRARY,P. O. BOX 1168,NOME,99762,1168,9074435133,NOME,CE,NO,C,0,,002,AK,02,180,98
AK0053,AK0053-002,NORTHWAY COMMUNITY LIBRARY,P. O. BOX 469,NORTHWAY,99764,0519,9077782288,SE FAIRBANK,CE,NO,A,0,,002,AK,02,240,98
AK0055,AK0055-002,PALMER PUBLIC LIBRARY,655 S. VALLEY WAY,PALMER,99645,6697,9077454690,MATANUSKA-SUSITNA,CE,NO,E,0,,002,AK,02,170,98
AK0056,AK0056-002,PELICAN PUBLIC LIBRARY,P. O. BOX 712,PELICAN,99832,0712,9077352500,SKAGWAY-ANGOON,CE,NO,A,0,,002,AK,02,232,98
AK0057,AK0057-002,PETERSBURG PUBLIC LIBRARY,P. O. BOX 549,PETERSBURG,99833,0549,9077723349,WRANGELL-PETERSBU,CE,NO,C,0,,002,AK,02,280,98
AK0058,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIB,P. O. BOX 49,PORT LIONS,99550,0049,9074542288,KODIAK ISLAND,CE,NO,B,0,,002,AK,02,150,98
AK0060,AK0060-002,RUBY COMMUNITY LIBRARY,P. O. BOX 90,RUBY,99768,0090,9074684432,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0061,AK0061-002,ST. PAUL COMM/SCHOOL LIB,P.O. BOX 905,ST. PAUL,99660,0901,9075462221,ALEUTIANS WEST,CE,NO,A,0,,002,AK,02,016,98
AK0064,AK0064-002,SELDOVIA PUBLIC LIBRARY,P. O. BOX H,SELDOVIA,99663,0189,9072347856,KENAI PENINSULA,CE,NO,A,0,,002,AK,02,122,98
AK0065,AK0065-002,SEWARD COMMUNITY LIBRARY,P. O. BOX 2389,SEWARD,99664,0357,9072243646,KENAI PENINSULA,CE,NO,D,0,,002,AK,02,122,98
AK0066,AK0066-002,NELLIE WEYIOUANNA ILISAAVIK,P.O. BOX 72090,SHISHMAREF,99772,0090,9076493011,NOME,CE,NO,A,0,,002,AK,02,180,98
AK0067,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DR,SITKA,99835,7570,9077478708,SITKA,CE,NO,D,0,,002,AK,02,220,98
AK0068,AK0068-002,SKAGWAY PUBLIC LIBRARY,P. O. BOX 394,SKAGWAY,99840,0394,9079832665,SKAGWAY-ANGOON,CE,NO,A,0,,002,AK,02,232,98
AK0069,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 N. BINKLEY ST,SOLDOTNA,99669,7523,9072624227,KENAI PENINSULA,CE,NO,E,0,,002,AK,02,122,98
AK0070,AK0070-002,SUTTON PUBLIC LIBRARY,P. O. BOX 266,SUTTON,99674,0266,9077454467,MATANUSKA-SUSITNA,CE,NO,B,0,,002,AK,02,170,98
AK0071,AK0071-002,TAKOTNA COMMUNITY LIBRARY,P. O. BOX 86,TAKOTNA,99675,0085,9072982229,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0072,AK0072-002,TALKEETNA PUBLIC LIBRARY,P. O. BOX 768,TALKEETNA,99676,0768,9077332359,MATANUSKA-SUSITNA,CE,NO,B,0,,002,AK,02,170,98
AK0073,AK0073-002,TANANA COMMUNITY LIBRARY,P. O. BOX 109,TANANA,99777,0089,9073667207,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0074,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,P. O. BOX 35,TENAKEE SPRINGS,99841,0035,9077362248,SKAGWAY-ANGOON,CE,NO,A,0,,002,AK,02,232,98
AK0075,AK0075-002,TOK COMMUNITY LIBRARY,P. O. BOX 227,TOK,99780,0227,9078835623,SE FAIRBANK,CE,NO,A,0,,002,AK,02,240,98
AK0076,AK0076-002,TICASUK LIBRARY,P. O. BOX 28,UNALAKLEET,99684,0028,9076243053,NOME,CE,NO,A,0,,002,AK,02,180,98
AK0077,AK0077-002,VALDEZ CONSORTIUM LIBRARY,P. O. BOX 609,VALDEZ,99686,0609,9078354632,VALDEZ-CORDOVA,CE,NO,C,0,,002,AK,02,261,98
AK0078,AK0078-002,WASILLA PUBLIC LIBRARY,391 N. MAIN,WASILLA,99687,7085,9073765913,MATANUSKA-SUSITNA,CE,NO,E,0,,002,AK,02,170,98
AK0080,AK0080-002,WILLOW PUBLIC LIBRARY,P. O. BOX 129,WILLOW,99688,0129,9074956424,MATANUSKA-SUSITNA,CE,NO,C,0,,002,AK,02,170,98
AK0081,AK0081-002,IRENE INGLE PUBLIC LIBRARY,P. O. BOX 679,WRANGELL,99929,0679,9078743535,WRANGELL-PETERSBU,CE,NO,C,0,www.wrangell.com/communit/library.htm,002,AK,02,280,98
AK0082,AK0082-002,AKIAK SCHOOL COMMUNITY LIBRARY,P. O. BOX 52227,AKIAK,99552,0227,9077657325,BETHEL,CE,NO,A,0,,002,AK,02,050,98
AK0085,AK0085-002,KENNY LAKE PUBLIC LIBRARY,HC60 BOX 223,COOPER CENTER,99573,9704,9078223015,VALDEZ-CORDOVA,CE,NO,A,0,,002,AK,02,261,98
AK0085,AK0085-003,KENNY LAKE PUBLIC LIBRARY,HC60 BOX 223,COPPER CENTER,99573,9704,9078223015,VALDEZ-CORDOVA,BS,NO,A,1,,003,AK,02,261,98
AK0087,AK0087-002,KOYUK PUBLIC LIBRARY,P.O. BOX 69,KOYUK,99753,0069,9079633971,NOME,CE,NO,A,0,,002,AK,02,180,98
AK0088,AK0088-002,PILOT STATION PUBLIC LIBRARY,P. O. BOX 5130,PILOT STATION,99650,5103,9075493211,WADE HAMPTON,CE,NO,A,0,,002,AK,02,270,98
AK0091,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,P. O. BOX 115,TULUKSAK,99679,0115,9076956989,BETHEL,CE,NO,A,0,,002,AK,02,050,98
AK0094,AK0094-003,WAINWRIGHT COMM/SCH LIBRARY,P. O. BOX 10,WAINWRIGHT,99782,0010,9077632541,NORTH SLOPE,BR,NO,A,0,,003,AK,02,185,98
AK0094,AK0094-004,POINT HOPE SCH/COMM LIBRARY,P.O. BOX 148,POINT HOPE,99766,0148,9073682662,NORTH SLOPE,BR,NO,A,0,,004,AK,02,185,98
AK0094,AK0094-005,NUNAMIUT SCH/COMM LIBRARY,P. O. BOX 21029,ANAKTUVUK PASS,99721,1029,9076613226,NORTH SLOPE,BR,NO,A,0,,005,AK,02,185,98
AK0094,AK0094-006,MEADE RIVER SCH\COMM LIBRARY,GENERAL DELIVERY,ATQASUK,99791,9999,9076336315,NORTH SLOPE,BR,NO,A,0,,006,AK,02,185,98
AK0094,AK0094-007,HAROLD KAVEOLOOK SCH/COMM LIBRARY,P.O BOX 10,KAKTOVIK,99747,0010,9076406626,NORTH SLOPE,BR,NO,A,0,,007,AK,02,185,98
AK0094,AK0094-008,NUIQSUT TRAPPER SCH/COMM LIBRARY,P. O. BOX 167,NUIQSUT,99789,0167,9074806712,NORTH SLOPE,BR,NO,A,0,,008,AK,02,185,98
AK0094,AK0094-009,CULLY SCH/COMM LIBRARY,GENERAL DELIVERY,POINT LAY,99759,9999,9078332312,NORTH SLOPE,BR,NO,A,0,,009,AK,02,185,98
AK0094,AK0094-010,Tuzzy Higbee Consortium Library,P. O. Box 749,Barrow,99723,7337,9078521720,NORTH SLOPE,CE,NO,D,0,,010,AK,02,185,98
AK0095,AK0095-002,AKIACHAK SCH/COMM LIBRARY,P. O. BOX 51100,AKIACHAK,99551,0100,9078254812,BETHEL,CE,NO,A,0,,002,AK,02,050,98
AK0097,AK0097-002,ESTHER GREENWALD LIBRARY,P. O. BOX 57,HOONAH,99829,0157,9079453611,SKAGWAY-ANGOON,CE,NO,A,0,,002,AK,02,232,98
AK0099,AK0099-002,MOOSE PASS PUBLIC LIBRARY,GENERAL DELIVERY,MOOSE PASS,99631,9999,9072883111,KENAI PENINSULA,CE,NO,A,0,,002,AK,02,122,98
AK0100,AK0100-002,NIKOLAI PUBLIC LIBRARY,P. O. BOX 9145,Nikolai,99691,0025,9072932113,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0101,AK0101-002,SAND POINT SCH/COMM LIBRARY,P. O. BOX 249,Sand Point,99661,0269,9073832331,ALEUTIANS EAST,CE,NO,B,0,,002,AK,02,013,98
AK0102,AK0102-002,EGEGIK VILLAGE LIBRARY,P. O. BOX 29,EGEGIK,99579,9999,9072332211,LAKE & PENINSULA,CE,NO,A,0,,002,AK,02,164,98
AK0103,AK0103-002,TRAPPER CREEK LIBRARY,P. O. BOX 13388,TRAPPER CREEK,99683,0388,9077331546,MATANUSKA-SUSITNA,CE,NO,A,0,,002,AK,02,170,98
AK0104,AK0104-002,Holy Cross Sch/Com Library,P. O. Box 210,Holy Cross,99602,0210,9074767118,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0107,AK0107-002,Alakanuk Public Library,P. O. Box 167,ALAKANUK,99554,0167,9072383312,WADE HAMPTON,CE,NO,A,0,,002,AK,02,270,98
AK0108,AK0108-002,Old Harbor Library,P. O. Box 109,Old Harbor,99643,0109,9072862204,KODIAK ISLAND,CE,NO,A,0,,002,AK,02,150,98
AK0109,AK0109-002,Russian Mission School Community Library,P. O. BOX 49,Russian Mission,99550,0049,9075845111,WADE HAMPTON,CE,NO,A,0,,002,AK,02,270,98
AK0111,AK0111-002,Akutan Public Library,P. O. Box 26,Akutan,99553,0026,9076982228,ALEUTIANS EAST,CE,NO,A,0,,002,AK,02,013,98
AK0112,AK0112,FALSE PASS PUBLIC LIBRARY,P. O. Box 50,False Pass,99583,0050,9075482319,ALEUTIANS EAST,CE,NO,A,0,,002,AK,02,013,98
AK0113,AK0113,Ouzinkie Media Center,P. O. Box 130,Ouzinkie,99644,0130,9076802323,KODIAK ISLAND,CE,NO,A,0,,002,AK,02,150,98
AK0114,AK0114,St. George Comm/School Library,P. O. Box 959,St. George,99591,0959,9078592229,ALEUTIANS WEST,CE,NO,A,0,,002,AK,02,016,98
AK0115,AK0115,UNALASKA PUBLIC LIBRARY,P. O. Box 610,Unalaska,99685,0610,9075815060,ALEUTIANS WEST,CE,NO,B,0,,002,AK,02,016,98
