POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
1218291,229,9,2,120.16,385.76,197.88,583.64,18588594,0,145838,2507883,21242315,12245880,1672710,13918590,3529861,3162849,20611300,2384474,4833339,123100,51461,15558,323439,5523141,760505,8409631,43932,59916,3300708,267496,1055182,1111000,07/92,12/93,NH,33,94,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
8471879,310,152,25,1372.3,1382.2,3617.4,4999.6,211063856,9582591,1845153,12827033,235318633,121931242,35630048,157561290,30868135,40444345,228873770,13604490,29193407,791245,282085,74555,1093388,36762843,6510825,45294570,339140,314270,15985113,1190700,7761997,7820262,01/93,12/93,NJ,34,94,02, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
1107962,69,18,4,76.3,165.28,303.72,469.5,15730076,1448049,214744,837172,18230041,9309315,1779875,11089190,3148013,3444182,17681385,7101723,3434503,48281,18625,5422,172388,4246548,821096,7406193,19041,23954,2769081,195889,1092605,1581830,06/92,07/93,NM,35,94,06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0,, 1, 1, 1, 1, 0, 1, 1, 0
1342090,25,50,3,74,133.66,347.4,481.06,40406189,83568,457553,573027,41520337,11871141,3141265,15012406,5078597,4970494,25061497,16172372,2685726,64199,23793,6933,111589,4513443,1072169,6647822,18129,17172,2212569,641112,1342090,1342090,07/92,06/93,NV,32,94,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 1, 1, 0
26189575,758,338,16,3133.01,3359.47,8968.11,12328.04,428888492,59523281,5023692,106971475,600406940,306699316,65142385,371841701,79062852,118711135,569615688,29492063,68339043,3352242,815230,264290,2170064,79727150,23912790,121631396,1236004,1179604,32887781,2872718,17990764,17990764,06/92,12/93,NY,36,94,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 1, 1, 1, 1, 0
11021419,247,440,58,1629.09,2406.25,5763.65,8169.85,69293914,285891084,1007694,25313034,381505726,169316884,42039549,211356433,61413834,63119389,335889656,20053378,39919698,2001942,870194,78531,1839064,56156071,18994808,131159453,291075,323177,42357313,2321792,11021419,11021419,01/93,12/93,OH,39,94,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0,, 1, 1, 0, 1, 1, 1, 1, 0
2600964,110,80,13,157,403.75,454.5,858.25,29716207,1738744,371482,2160183,33986616,17980639,3815039,21795678,5302233,5550148,32648059,4836297,5612378,68695,52729,16519,538772,9950879,2209430,16459360,40684,60274,6490458,483682,2565467,3205234,07/92,06/93,OK,40,94,06, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
2798091,120,78,12,252.68,377.29,822.23,1199.5,49900890,424398,278195,8867654,59471137,27802455,9475790,37278245,7742731,10822951,55843927,3661602,6645101,221453,88290,20255,346937,11130985,2140367,26439462,359194,394505,8471703,363900,2798000,2979000,07/92,06/93,OR,41,94,08, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
11654267,444,182,32,923.68,1408.57,2471.26,3879.83,104191815,29589469,2866398,26479680,163127362,81903114,22597637,104500751,21125070,34499806,160125627,5500756,24140277,1219028,220365,50994,1300986,34724053,6880733,54034955,431821,280526,20746092,1554589,11548914,11882610,01/92,06/93,PA,42,94,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 1, 1, 1, 1, 0
1424962,51,23,3,150.38,186.27,391.32,626.04,16474270,359601,222674,3283859,20340404,12610989,2012178,14623167,2849556,3370677,20843400,1589385,4051584,70855,41753,8203,133718,5396245,70877,6484979,71420,59765,2256567,167148,1003464,1003464,07/92,06/93,RI,44,94,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
3586317,40,141,38,260.59,412.93,734.85,1147.77,36044454,3240032,844390,2399070,42527946,20316149,5030480,25346629,7550960,8136924,41034513,11276034,6088171,113843,51872,17517,402395,9694625,3278262,14763504,6831,39244,5376932,442756,3560517,3560517,07/92,06/93,SC,45,94,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 0, 0, 1, 0, 1, 0, 0
569971,113,20,10,31.5,118.34,157.94,276.23,9235252,0,57981,683863,9977096,4883544,963524,5847068,1564838,1603832,9015738,621942,2366396,49544,19127,5856,178682,2846621,499536,5064396,16554,34897,1914176,103245,569971,696004,01/93,12/93,SD,46,94,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
7782328,137,147,16,245.09,458.26,925.21,1383.46,38547194,5567000,2695833,4820523,51630550,24893746,5075165,29968911,7161722,12584421,49715054,1310913,8031156,199746,125665,19363,519434,12401678,3698327,19814366,38382,55152,5229490,555179,4877185,4877185,07/92,06/93,TN,47,94,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 1, 1, 1, 1, 0
15759158,498,249,21,1130.42,1696.26,3293.2,4989.46,164573807,852250,3037651,7411472,175875180,94620900,25874826,120495726,26890100,29057234,176443060,17551646,31531172,824466,326550,70674,1518242,45614005,16188378,71767740,226606,228000,26290377,2842355,15759158,17682538,01/92,12/93,TX,48,94,06, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
1811424,49,43,28,119.13,244.93,457.15,702.08,29342640,852882,492464,1962538,32650524,15292805,4482797,19775602,5527243,5465534,30768379,3062573,4591817,169123,52655,10987,217199,7436985,1928041,15499241,13819,23996,5850016,224792,1811424,1811424,06/92,12/93,UT,49,94,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0,, 1, 1, 0, 0, 1, 1, 1, 0
6184996,83,212,37,653.61,762.83,2026.13,2788.96,101883996,10065613,632981,9904275,122486865,63924998,13851969,77776967,19017109,21525229,118319305,21984350,15274721,513257,164568,45003,781213,26127168,5996994,46405988,47978,58618,12962875,732497,6184996,6394500,07/92,06/93,VA,51,94,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 0, 0, 0, 0, 0, 0, 0
562417,201,5,0,33.63,119.64,102.47,226.73,5540116,8180,0,2632002,8180298,4204202,763372,4967574,1233624,1751763,7952961,542734,2536501,49698,15246,6948,214408,2366482,312760,3676871,10254,46919,1551797,114401,519455,562768,01/92,08/93,VT,50,94,01, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
5078325,62,250,20,618.81,654.89,1978.23,2633.12,127409336,4545401,693123,4190202,136838062,69979302,19049691,89028993,19090688,21709912,129829593,34333222,13537505,646475,280906,37578,615919,18145352,5668958,51431949,134922,139563,15428542,633007,5078325,5240900,01/93,12/93,WA,53,94,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1,, 1, 1, 1, 0, 0, 1, 1, 0
5020994,375,76,15,544.05,1043.67,1525.18,2568.85,98237982,4256065,638976,4992247,108125270,55252336,17546540,72798876,15279347,17206368,105284591,15747059,16093574,521828,230572,56771,893215,27446854,5667137,43502458,499006,599681,17128695,1039424,5020994,5020994,01/93,12/93,WI,55,94,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0,, 1, 1, 1, 1, 1, 1, 1, 0
1779676,97,78,11,57.53,266.57,275.29,541.72,9542455,5459648,232677,1735451,16970231,8401683,2120659,10522342,2610522,3703548,16836412,1587507,4428296,130582,52888,8038,351702,6384163,1541176,8782654,22099,33346,2482254,194148,1793477,1793477,07/92,06/93,WV,54,94,05, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0,, 1, 0, 0, 1, 1, 1, 0, 0
471800,23,54,4,32.7,139.75,183.82,323.57,9278619,16756,23469,849273,10168117,5325055,1555828,6880883,1489081,1951044,10321008,142922,2301745,69314,24811,4976,125810,2237388,410993,3879509,12363,19754,1431414,138100,471800,471800,07/92,06/93,WY,56,94,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 0, 0, 0, 0, 0
